"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1990-91,	11820,	2365,	14185,	14735,	1282,	16017,	0,	-1832,	5692
1991-92,	11587,	2150,	13737,	15052,	1314,	16366,	0,	-2629,	7939
1992-93,	11814,	2457,	14271,	16176,	1419,	17595,	0,	-3324,	11824
1993-94,	13316,	2090,	15406,	15123,	1654,	16777,	0,	-1371,	13379
1994-95,	14235,	1929,	16164,	13480,	1746,	15226,	0,	938,	12707
1995-96,	13767,	1748,	15515,	12681,	1683,	14364,	0,	1151,	11607
1996-97,	15301,	1351,	16652,	12701,	1462,	14163,	0,	2489,	8709
1997-98,	16571,	1183,	17754,	13773,	1322,	15095,	0,	2659,	5979
1998-99,	15484,	1335,	16819,	14346,	1379,	15725,	0,	1094,	4876
1999-00,	18463,	1640,	20103,	16356,	956,	17312,	0,	2791,	2074
2000-01,	23714,	1813,	25527,	17976,	980,	18956,	0,	6571,	-4300
2001-02,	19662,	2264,	21926,	20071,	774,	20845,	0,	1081,	-5043
2002-03,	20588,	2074,	22662,	20053,	476,	20529,	0,	2133,	-6769
2003-04,	22961,	2926,	25887,	21480,	271,	21751,	0,	4136,	-10548
2004-05,	26109,	3219,	29328,	23851,	302,	24153,	0,	5175,	-15160
2005-06,	32150,	3392,	35542,	26743,	248,	26991,	0,	8551,	-22883
2006-07,	34940,	3077,	38017,	29292,	215,	29507,	0,	8510,	-30454
2007-08,	35121,	3048,	38169,	33374,	214,	33588,	0,	4581,	-31527
2008-09,	31626,	4185,	35811,	36455,	208,	36663,	0,	-852,	-26873
2009-10,	30717,	4941,	35658,	36327,	363,	36690,	0,	-1032,	-23738
2010-11,	30009,	5025,	35034,	37972,	472,	38444,	0,	-3410,	-18398
2011-12,	34766,	4777,	39543,	39067,	499,	39566,	0,	-23,	-16395
2012-13,	33952,	4804,	38756,	41086,	512,	41598,	0,	-2842,	-11889
2013-14,	38564,	6729,	45293,	43948,	590,	44538,	0,	755,	-9677
